Departamento,Provincia,No usa electricidad,Sí usa electricidad,No usa gas (balón GLP),Sí usa gas (balón GLP),No usa gas natural,Sí usa gas natural,No usa carbón,Sí usa carbón,No usa leña,Sí usa leña,No usa bosta,estiércol,Sí usa bosta,estiércol,No usa otros (residuos agrícolas,etc.),Sí usa otros (residuos agrícolas,etc.),Sí cocinan,No cocinan
CUSCO,URUBAMBA,16386,132,7353,9165,16518,0,16400,118,5875,10643,15482,1036,16368,150,16080,438,,,,
HUANCAVELICA,ACOBAMBA,11600,70,8253,3417,11670,0,11623,47,1878,9792,10081,1589,11631,39,11561,109,,,,
HUANCAVELICA,ANGARAES,14192,87,10203,4076,14279,0,14256,23,3723,10556,11744,2535,14115,164,14114,165,,,,
HUANCAVELICA,CASTROVIRREYNA,5184,35,3614,1605,5219,0,5196,23,1133,4086,4148,1071,5213,6,5062,157,,,,
HUANCAVELICA,CHURCAMPA,9910,57,7834,2133,9967,0,9950,17,1146,8821,9648,319,9948,19,9888,79,,,,
HUANCAVELICA,HUANCAVELICA,33074,312,16364,17022,33386,0,33263,123,15598,17788,24286,9100,33236,150,32752,634,,,,
HUANCAVELICA,HUAYTARÁ,6552,29,4773,1808,6581,0,6551,30,1770,4811,4756,1825,6579,2,6472,109,,,,
HUANCAVELICA,TAYACAJA,24721,195,18249,6667,24916,0,24867,49,3490,21426,24407,509,24908,8,24674,242,,,,
HUÁNUCO,AMBO,14714,152,7563,7303,14866,0,14818,48,3771,11095,14571,295,14848,18,14712,154,,,,
HUÁNUCO,DOS DE MAYO,9888,40,7682,2246,9928,0,9899,29,1657,8271,9440,488,9807,121,9821,107,,,,
HUÁNUCO,HUACAYBAMBA,4408,16,3946,478,4424,0,4420,4,296,4128,4424,0,4424,0,4380,44,,,,
HUÁNUCO,HUAMALÍES,15424,54,12770,2708,15478,0,15430,48,1983,13495,15361,117,15310,168,15247,231,,,,
HUÁNUCO,HUÁNUCO,78943,1817,26595,54165,80760,0,80028,732,47247,33513,80351,409,80647,113,78843,1917,,,,
HUÁNUCO,LAURICOCHA,5579,16,4835,760,5595,0,5552,43,1840,3755,2830,2765,5401,194,5538,57,,,,
HUÁNUCO,LEONCIO PRADO,35024,494,12603,22915,35518,0,35151,367,18982,16536,35518,0,35470,48,34270,1248,,,,
HUÁNUCO,MARAÑÓN,7387,37,5590,1834,7424,0,7399,25,1066,6358,7419,5,7423,1,7345,79,,,,
HUÁNUCO,PACHITEA,13851,129,9152,4828,13980,0,13952,28,2481,11499,13965,15,13951,29,13869,111,,,,
HUÁNUCO,PUERTO INCA,8870,53,4834,4089,8923,0,8865,58,3177,5746,8923,0,8923,0,8632,291,,,,
HUÁNUCO,YAROWILCA,6529,26,5917,638,6555,0,6531,24,622,5933,6223,332,6215,340,6520,35,,,,
ICA,CHINCHA,58938,1814,14541,46211,52440,8312,60535,217,51759,8993,60707,45,60712,40,59355,1397,,,,
ICA,ICA,106450,2878,25668,83660,93532,15796,108458,870,94131,15197,109302,26,109197,131,106152,3176,,,,
ICA,NAZCA,19921,1088,5339,15670,18886,2123,20793,216,16931,4078,21009,0,20994,15,20102,907,,,,
ICA,PALPA,4188,56,1509,2735,4244,0,4215,29,2278,1966,4243,1,4244,0,4021,223,,,,
ICA,PISCO,41678,1027,11337,31368,35594,7111,42512,193,36055,6650,42699,6,42685,20,41295,1410,,,,
JUNÍN,CHANCHAMAYO,43742,738,17351,27129,44480,0,44213,267,23081,21399,44480,0,44463,17,42776,1704,,,,
JUNÍN,CHUPACA,14770,152,5042,9880,14922,0,14815,107,5784,9138,13031,1891,14886,36,14775,147,,,,
JUNÍN,CONCEPCIÓN,16300,127,8585,7842,16427,0,16361,66,5212,11215,14486,1941,16413,14,16227,200,,,,
JUNÍN,HUANCAYO,147407,3266,22505,128168,150673,0,149502,1171,110906,39767,149289,1384,150533,140,148307,2366,,,,
JUNÍN,JAUJA,25061,242,10436,14867,25303,0,25203,100,9256,16047,21298,4005,25166,137,24938,365,,,,
JUNÍN,JUNÍN,7556,38,2192,5402,7594,0,7484,110,5616,1978,5362,2232,6883,711,7519,75,,,,
JUNÍN,SATIPO,51887,367,34435,17819,52254,0,51872,382,13883,38371,52240,14,52238,16,50867,1387,,,,
JUNÍN,TARMA,27040,388,6585,20843,27428,0,27125,303,15304,12124,26386,1042,27374,54,26996,432,,,,
JUNÍN,YAULI,10180,452,1546,9086,10632,0,10576,56,9657,975,9728,904,10545,87,10197,435,,,,
LA LBERTAD,ASCOPE,30995,721,4443,27273,31716,0,31525,191,25513,6203,31716,0,31701,15,30678,1038,,,,
LA LBERTAD,BOLÍVAR,4007,35,3267,775,4042,0,4037,5,363,3679,4039,3,4041,1,3987,55,,,,
LA LBERTAD,CHEPÉN,22071,478,4941,17608,22549,0,21878,671,15324,7225,22549,0,22545,4,21947,602,,,,
LA LBERTAD,GRAN CHIMÚ,7885,74,4591,3368,7959,0,7946,13,1590,6369,7958,1,7959,0,7769,190,,,,
LA LBERTAD,JULCÁN,8978,28,5482,3524,9006,0,8972,34,799,8207,8142,864,8998,8,8961,45,,,,
LA LBERTAD,OTUZCO,23849,208,18819,5238,24057,0,23265,792,3514,20543,23450,607,24036,21,23807,250,,,,
LA LBERTAD,PACASMAYO,28525,914,4373,25066,29439,0,28855,584,21736,7703,29439,0,29421,18,28635,804,,,,
LA LBERTAD,PATAZ,18686,185,12857,6014,18871,0,18835,36,3920,14951,18860,11,18870,1,18514,357,,,,
LA LBERTAD,SÁNCHEZ CARRIÓN,38569,312,26190,12691,38881,0,37969,912,6659,32222,38843,38,38865,16,38560,321,,,,
LA LBERTAD,SANTIAGO DE CHUCO,14281,81,11775,2587,14362,0,12412,1950,3340,11022,13715,647,14311,51,14229,133,,,,
LA LBERTAD,TRUJILLO,239267,11014,21836,228445,250281,0,247563,2718,221454,28827,250281,0,250070,211,243693,6588,,,,
LA LBERTAD,VIRÚ,22456,408,6395,16469,22864,0,22742,122,12420,10444,22864,0,22835,29,22349,515,,,,
LAMBAYEQUE,CHICLAYO,201489,7042,19661,188870,208531,0,188768,19763,187620,20911,208531,0,208487,44,203370,5161,,,,
LAMBAYEQUE,FERREÑAFE,25153,268,9008,16413,25421,0,23697,1724,13750,11671,25419,2,25415,6,24995,426,,,,
LAMBAYEQUE,LAMBAYEQUE,73854,1181,27326,47709,75035,0,64791,10244,42995,32040,75035,0,75015,20,73259,1776,,,,
LIMA,BARRANCA,39310,1140,4172,36278,40450,0,40132,318,33825,6625,40450,0,40432,18,39205,1245,,,,
LIMA,CAJATAMBO,2217,18,1626,609,2235,0,2216,19,337,1898,1866,369,2231,4,2194,41,,,,
LIMA,CANTA,3919,59,1363,2615,3978,0,3952,26,2098,1880,3861,117,3974,4,3840,138,,,,
LIMA,CAÑETE,64915,1986,7277,59624,66901,0,66190,711,52796,14105,66901,0,66870,31,65209,1692,,,,
LIMA,HUARAL,48337,1662,5809,44190,49999,0,49124,875,38641,11358,49848,151,49971,28,48516,1483,,,,
LIMA,HUAROCHIRÍ,17104,338,5291,12151,17442,0,17153,289,10019,7423,17053,389,17431,11,17005,437,,,,
LIMA,HUAURA,61874,2745,8498,56121,64619,0,63568,1051,52932,11687,64451,168,64584,35,62360,2259,,,,
LIMA,LIMA,2228751,125199,515782,1838168,1970608,383342,2329530,24420,2310046,43904,2353950,0,2353950,0,2293727,60223,,,,
LIMA,OYÓN,4620,58,1932,2746,4678,0,3755,923,2625,2053,4400,278,4666,12,4537,141,,,,
LIMA,YAUYOS,6817,53,4213,2657,6870,0,6854,16,1378,5492,6322,548,6864,6,6711,159,,,,
LORETO,ALTO AMAZONAS,28563,446,15387,13622,29009,0,26737,2272,11404,17605,29009,0,28998,11,28380,629,,,,
LORETO,DATEM DEL MARAÑÓN,10200,49,7994,2255,10249,0,10108,141,1471,8778,10249,0,10248,1,10167,82,,,,
LORETO,LORETO,13629,97,10490,3236,13726,0,12576,1150,2835,10891,13726,0,13722,4,13564,162,,,,
LORETO,MARISCAL RAMÓN CASTILLA,10472,78,7842,2708,10550,0,10229,321,1738,8812,10550,0,10549,1,10407,143,,,,
LORETO,MAYNAS,104011,2835,38157,68689,106846,0,86667,20179,74346,32500,106846,0,106768,78,103884,2962,,,,
LORETO,PUTUMAYO,1720,4,1297,427,1724,0,1700,24,277,1447,1724,0,1724,0,1688,36,,,,
LORETO,REQUENA,12312,113,9684,2741,12425,0,11410,1015,2071,10354,12425,0,12421,4,12232,193,,,,
LORETO,UCAYALI,12062,94,8375,3781,12156,0,11869,287,2574,9582,12156,0,12153,3,11977,179,,,,
MADRE DE DIOS PROV. DE MANU,MADRE DE DIOS PROV. DE MANU,5553,50,2389,3214,5603,0,4895,708,3621,1982,5603,0,5572,31,5031,572,,,,
MADRE DE DIOS PROV. DE TAHUAMANU,MADRE DE DIOS PROV. DE TAHUAMANU,3054,66,975,2145,3120,0,2166,954,2483,637,3120,0,3120,0,2902,218,,,,
MADRE DE DIOS PROV. DE TAMBOPATA,MADRE DE DIOS PROV. DE TAMBOPATA,31812,877,7101,25588,32689,0,26063,6626,29699,2990,32689,0,32683,6,29856,2833,,,,
MOQUEGUA,GENERAL SÁNCHEZ CERRO,6370,35,4424,1981,6405,0,6391,14,1156,5249,5578,827,6400,5,6230,175,,,,
MOQUEGUA,ILO,22935,860,1526,22269,23795,0,23712,83,23138,657,23795,0,23788,7,22994,801,,,,
MOQUEGUA,MARISCAL NIETO,27647,1155,6241,22561,28802,0,28656,146,21527,7275,28609,193,28782,20,27590,1212,,,,
PASCO,DANIEL ALCIDES CARRIÓN,10955,43,7886,3112,10998,0,10754,244,3508,7490,8054,2944,10437,561,10910,88,,,,
PASCO,OXAPAMPA,24702,246,12157,12791,24948,0,24828,120,10860,14088,24948,0,24942,6,23995,953,,,,
PASCO,PASCO,32847,404,7611,25640,33251,0,32923,328,24237,9014,30889,2362,32029,1222,32791,460,,,,
PIURA,AYABACA,31348,158,22871,8635,31506,0,30439,1067,4147,27359,31501,5,31493,13,31308,198,,,,
PIURA,HUANCABAMBA,31747,228,24755,7220,31975,0,31494,481,3520,28455,31966,9,31975,0,31762,213,,,,
PIURA,MORROPÓN,46124,603,21784,24943,46727,0,43850,2877,18734,27993,46727,0,46714,13,45291,1436,,,,
PIURA,PAITA,34293,726,7717,27302,35019,0,25354,9665,31181,3838,35019,0,35015,4,34087,932,,,,
PIURA,PIURA,199828,5441,57879,147390,205269,0,175981,29288,147059,58210,205269,0,205226,43,200995,4274,,,,
PIURA,SECHURA,20080,375,5645,14810,20455,0,15805,4650,13867,6588,20455,0,20450,5,19793,662,,,,
PIURA,SULLANA,81663,1767,21929,61501,83430,0,60628,22802,70482,12948,83430,0,83415,15,80867,2563,,,,
PIURA,TALARA,37246,1059,5054,33251,38305,0,32171,6134,37720,585,38305,0,38294,11,37068,1237,,,,
PROVINCIA CONSTITUCIONAL DEL CALLAO,PROVINCIA CONSTITUCIONAL DEL CALLAO,254119,12109,34865,231363,243306,22922,264016,2212,260422,5806,266228,0,266228,0,260128,6100,,,,
PUNO,AZÁNGARO,39548,196,24469,15275,39744,0,39623,121,34522,5222,9086,30658,39607,137,39512,232,,,,
PUNO,CARABAYA,25178,109,16443,8844,25287,0,25015,272,12165,13122,13859,11428,25182,105,25029,258,,,,
PUNO,CHUCUITO,36616,128,22710,14034,36744,0,36434,310,24334,12410,11823,24921,36663,81,36306,438,,,,
PUNO,EL COLLAO,25929,143,12378,13694,26072,0,25918,154,21103,4969,9755,16317,26042,30,25772,300,,,,
PUNO,HUANCANÉ,23625,105,12225,11505,23730,0,23608,122,15229,8501,8244,15486,23590,140,23493,237,,,,
PUNO,LAMPA,16114,82,8795,7401,16196,0,16141,55,12733,3463,4547,11649,16162,34,16101,95,,,,
PUNO,MELGAR,22505,178,10519,12164,22683,0,22604,79,20906,1777,8733,13950,22644,39,22479,204,,,,
